Fecha,Rango edad,Número de hombres,Número mujeres
['15/06/2014 07:00:01'],25-29,2574,2744
['15/06/2014 07:00:01'],30-34,3611,3741
['15/06/2014 07:00:01'],35-39,4439,4668
['15/06/2014 07:00:01'],40-44,4054,4036
['15/06/2014 07:00:01'],45-49,3409,3462
['15/06/2014 07:00:01'],50-54,2805,3001
['15/06/2014 07:00:01'],55-59,2342,2708
['15/06/2014 07:00:01'],60-64,2135,2410
['15/06/2014 07:00:01'],65-69,1908,1967
['15/06/2014 07:00:01'],70-74,1253,1308
['15/06/2014 07:00:01'],75-79,769,885
['15/06/2014 07:00:01'],80-84,509,708
['15/06/2014 07:00:01'],85-89,244,506
['15/06/2014 07:00:01'],90-94,96,269
['15/06/2014 07:00:01'],95-99,20,67
['15/06/2014 07:00:01'],100-104,2,14
['01/06/2014 07:00:02'],0-4,2375,2274
['01/06/2014 07:00:02'],5-9,2647,2391
['01/06/2014 07:00:02'],10-14,2329,2238
['01/06/2014 07:00:02'],15-19,2124,2003
['01/06/2014 07:00:02'],20-24,2041,2001
['01/06/2014 07:00:02'],25-29,2561,2731
['01/06/2014 07:00:02'],30-34,3591,3730
['01/06/2014 07:00:02'],35-39,4425,4652
['01/06/2014 07:00:02'],40-44,4038,4031
['01/06/2014 07:00:02'],45-49,3405,3458
['01/06/2014 07:00:02'],50-54,2801,2995
['01/06/2014 07:00:02'],55-59,2341,2704
['01/06/2014 07:00:02'],60-64,2138,2406
['01/06/2014 07:00:02'],65-69,1911,1968
['01/06/2014 07:00:02'],70-74,1251,1308
['01/06/2014 07:00:02'],75-79,770,885
['01/06/2014 07:00:02'],80-84,511,710
['01/06/2014 07:00:02'],85-89,247,506
['01/06/2014 07:00:02'],90-94,96,270
['01/06/2014 07:00:02'],95-99,21,68
['01/06/2014 07:00:02'],100-104,3,14
['15/05/2014 07:00:01'],0-4,2373,2260
['15/05/2014 07:00:01'],5-9,2662,2403
['15/05/2014 07:00:01'],10-14,2331,2247
['15/05/2014 07:00:01'],15-19,2129,2002
['15/05/2014 07:00:01'],20-24,2037,2005
['15/05/2014 07:00:01'],25-29,2557,2742
['15/05/2014 07:00:01'],30-34,3605,3745
['15/05/2014 07:00:01'],35-39,4446,4677
['15/05/2014 07:00:01'],40-44,4048,4052
['15/05/2014 07:00:01'],45-49,3406,3458
['15/05/2014 07:00:01'],50-54,2799,2994
['15/05/2014 07:00:01'],55-59,2337,2700
['15/05/2014 07:00:01'],60-64,2142,2404
['15/05/2014 07:00:01'],65-69,1914,1970
['15/05/2014 07:00:01'],70-74,1251,1305
['15/05/2014 07:00:01'],75-79,769,887
['15/05/2014 07:00:01'],80-84,512,710
['15/05/2014 07:00:01'],85-89,246,505
['15/05/2014 07:00:01'],90-94,96,269
['15/05/2014 07:00:01'],95-99,21,68
['15/05/2014 07:00:01'],100-104,3,14
['01/05/2014 07:00:01'],0-4,2349,2235
['01/05/2014 07:00:01'],5-9,2653,2397
['01/05/2014 07:00:01'],10-14,2333,2249
['01/05/2014 07:00:01'],15-19,2127,2007
['01/05/2014 07:00:01'],20-24,2041,2008
['01/05/2014 07:00:01'],25-29,2560,2739
['01/05/2014 07:00:01'],30-34,3599,3749
['01/05/2014 07:00:01'],35-39,4441,4675
['01/05/2014 07:00:01'],40-44,4041,4048
['01/05/2014 07:00:01'],45-49,3402,3456
['01/05/2014 07:00:01'],50-54,2799,3000
['01/05/2014 07:00:01'],55-59,2337,2701
['01/05/2014 07:00:01'],60-64,2145,2407
['01/05/2014 07:00:01'],65-69,1915,1969
['01/05/2014 07:00:01'],70-74,1253,1306
['01/05/2014 07:00:01'],75-79,768,887
['01/05/2014 07:00:01'],80-84,514,713
['01/05/2014 07:00:01'],85-89,249,510
['01/05/2014 07:00:01'],90-94,96,271
['01/05/2014 07:00:01'],95-99,21,69
['01/05/2014 07:00:01'],100-104,3,15
['15/04/2014 07:00:02'],0-4,2309,2189
['15/04/2014 07:00:02'],5-9,2654,2400
['15/04/2014 07:00:02'],10-14,2328,2250
['15/04/2014 07:00:02'],15-19,2120,2007
['15/04/2014 07:00:02'],20-24,2040,2002
['15/04/2014 07:00:02'],25-29,2565,2738
['15/04/2014 07:00:02'],30-34,3606,3760
['15/04/2014 07:00:02'],35-39,4448,4671
['15/04/2014 07:00:02'],40-44,4045,4051
['15/04/2014 07:00:02'],45-49,3404,3457
['15/04/2014 07:00:02'],50-54,2801,2998
['15/04/2014 07:00:02'],55-59,2341,2705
['15/04/2014 07:00:02'],60-64,2143,2409
['15/04/2014 07:00:02'],65-69,1915,1967
['15/04/2014 07:00:02'],70-74,1254,1307
['15/04/2014 07:00:02'],75-79,769,887
['15/04/2014 07:00:02'],80-84,514,714
['15/04/2014 07:00:02'],85-89,249,510
['15/04/2014 07:00:02'],90-94,97,269
['15/04/2014 07:00:02'],95-99,21,69
['15/04/2014 07:00:02'],100-104,3,15
['15/03/2014 07:00:01'],0-4,2261,2144
['15/03/2014 07:00:01'],5-9,2646,2403
['15/03/2014 07:00:01'],10-14,2321,2247
['15/03/2014 07:00:01'],15-19,2117,2010
['15/03/2014 07:00:01'],20-24,2041,2006
['15/03/2014 07:00:01'],25-29,2554,2731
['15/03/2014 07:00:01'],30-34,3590,3777
['15/03/2014 07:00:01'],35-39,4452,4656
['15/03/2014 07:00:01'],40-44,4041,4043
['15/03/2014 07:00:01'],45-49,3413,3453
['15/03/2014 07:00:01'],50-54,2805,3003
['15/03/2014 07:00:01'],55-59,2342,2706
['15/03/2014 07:00:01'],60-64,2146,2414
['15/03/2014 07:00:01'],65-69,1917,1969
['15/03/2014 07:00:01'],70-74,1260,1308
['15/03/2014 07:00:01'],75-79,774,890
['15/03/2014 07:00:01'],80-84,521,716
['15/03/2014 07:00:01'],85-89,253,514
['15/03/2014 07:00:01'],90-94,101,278
['15/03/2014 07:00:01'],95-99,22,74
['15/03/2014 07:00:01'],100-104,3,15
['01/03/2014 07:00:01'],0-4,2241,2132
['01/03/2014 07:00:01'],5-9,2642,2399
['01/03/2014 07:00:01'],10-14,2315,2245
['01/03/2014 07:00:01'],15-19,2113,2005
['01/03/2014 07:00:01'],20-24,2035,1999
['01/03/2014 07:00:01'],25-29,2545,2717
['01/03/2014 07:00:01'],30-34,3576,3761
['01/03/2014 07:00:01'],35-39,4441,4636
['01/03/2014 07:00:01'],40-44,4027,4031
['01/03/2014 07:00:01'],45-49,3408,3447
['01/03/2014 07:00:01'],50-54,2800,3000
['01/03/2014 07:00:01'],55-59,2340,2702
['01/03/2014 07:00:01'],60-64,2145,2413
['01/03/2014 07:00:01'],65-69,1917,1966
['01/03/2014 07:00:01'],70-74,1260,1306
['01/03/2014 07:00:01'],75-79,775,891
['01/03/2014 07:00:01'],80-84,519,716
['01/03/2014 07:00:01'],85-89,253,515
['01/03/2014 07:00:01'],90-94,101,276
['01/03/2014 07:00:01'],95-99,22,76
['01/03/2014 07:00:01'],100-104,3,15
['15/02/2014 07:00:01'],0-4,2198,2102
['15/02/2014 07:00:01'],5-9,2640,2400
['15/02/2014 07:00:01'],10-14,2314,2240
['15/02/2014 07:00:01'],15-19,2112,2005
['15/02/2014 07:00:01'],20-24,2034,1993
['15/02/2014 07:00:01'],25-29,2543,2723
['15/02/2014 07:00:01'],30-34,3573,3766
['15/02/2014 07:00:01'],35-39,4448,4647
['15/02/2014 07:00:01'],40-44,4030,4029
['15/02/2014 07:00:01'],45-49,3404,3447
['15/02/2014 07:00:01'],50-54,2800,3002
['15/02/2014 07:00:01'],55-59,2342,2705
['15/02/2014 07:00:01'],60-64,2142,2414
['15/02/2014 07:00:01'],65-69,1917,1970
['15/02/2014 07:00:01'],70-74,1259,1304
['15/02/2014 07:00:01'],75-79,775,891
['15/02/2014 07:00:01'],80-84,520,716
['15/02/2014 07:00:01'],85-89,253,516
['15/02/2014 07:00:01'],90-94,101,275
['15/02/2014 07:00:01'],95-99,22,76
['15/02/2014 07:00:01'],100-104,3,15
['01/02/2014 07:00:01'],0-4,2193,2094
['01/02/2014 07:00:01'],5-9,2639,2402
['01/02/2014 07:00:01'],10-14,2321,2240
['01/02/2014 07:00:01'],15-19,2118,2010
['01/02/2014 07:00:01'],20-24,2034,1999
['01/02/2014 07:00:01'],25-29,2541,2712
['01/02/2014 07:00:01'],30-34,3563,3767
['01/02/2014 07:00:01'],35-39,4449,4641
['01/02/2014 07:00:01'],40-44,4030,4031
['01/02/2014 07:00:01'],45-49,3406,3454
['01/02/2014 07:00:01'],50-54,2800,3007
['01/02/2014 07:00:01'],55-59,2344,2712
['01/02/2014 07:00:01'],60-64,2143,2414
['01/02/2014 07:00:01'],65-69,1915,1972
['01/02/2014 07:00:01'],70-74,1263,1303
['01/02/2014 07:00:01'],75-79,780,892
['01/02/2014 07:00:01'],80-84,526,724
['01/02/2014 07:00:01'],85-89,256,526
['01/02/2014 07:00:01'],90-94,108,275
['01/02/2014 07:00:01'],95-99,25,78
['01/02/2014 07:00:01'],100-104,3,15
['15/01/2014 07:00:01'],0-4,2187,2085
['15/01/2014 07:00:01'],5-9,2638,2405
['15/01/2014 07:00:01'],10-14,2323,2236
['15/01/2014 07:00:01'],15-19,2111,2009
['15/01/2014 07:00:01'],20-24,2031,2003
['15/01/2014 07:00:01'],25-29,2545,2725
['15/01/2014 07:00:01'],30-34,3561,3764
['15/01/2014 07:00:01'],35-39,4450,4648
['15/01/2014 07:00:01'],40-44,4029,4037
['15/01/2014 07:00:01'],45-49,3402,3461
['15/01/2014 07:00:01'],50-54,2803,3005
['15/01/2014 07:00:01'],55-59,2345,2713
['15/01/2014 07:00:01'],60-64,2148,2414
['15/01/2014 07:00:01'],65-69,1921,1972
['15/01/2014 07:00:01'],70-74,1263,1302
['15/01/2014 07:00:01'],75-79,782,895
['15/01/2014 07:00:01'],80-84,527,722
['15/01/2014 07:00:01'],85-89,258,525
['15/01/2014 07:00:01'],90-94,108,278
['15/01/2014 07:00:01'],95-99,25,77
['15/01/2014 07:00:01'],100-104,3,15
['01/01/2014 07:00:01'],0-4,2156,2047
['01/01/2014 07:00:01'],5-9,2637,2402
['01/01/2014 07:00:01'],10-14,2328,2236
['01/01/2014 07:00:01'],15-19,2119,2010
['01/01/2014 07:00:01'],20-24,2031,2005
['01/01/2014 07:00:01'],25-29,2556,2743
['01/01/2014 07:00:01'],30-34,3565,3768
['01/01/2014 07:00:01'],35-39,4455,4668
['01/01/2014 07:00:01'],40-44,4039,4051
['01/01/2014 07:00:01'],45-49,3409,3464
['01/01/2014 07:00:01'],50-54,2809,3007
['01/01/2014 07:00:01'],55-59,2346,2712
['01/01/2014 07:00:01'],60-64,2153,2422
['01/01/2014 07:00:01'],65-69,1931,1974
['01/01/2014 07:00:01'],70-74,1269,1307
['01/01/2014 07:00:01'],75-79,782,895
['01/01/2014 07:00:01'],80-84,531,723
['01/01/2014 07:00:01'],85-89,261,528
['01/01/2014 07:00:01'],90-94,108,284
['01/01/2014 07:00:01'],95-99,25,77
['01/01/2014 07:00:01'],100-104,3,17
['15/12/2013 07:00:01'],0-4,2723,2547
['15/12/2013 07:00:01'],5-9,2523,2334
['15/12/2013 07:00:01'],10-14,2300,2230
['15/12/2013 07:00:01'],15-19,2059,1893
['15/12/2013 07:00:01'],20-24,2093,2174
['15/12/2013 07:00:01'],25-29,2735,2931
['15/12/2013 07:00:01'],30-34,3707,3928
['15/12/2013 07:00:01'],35-39,4473,4628
['15/12/2013 07:00:01'],40-44,3908,3877
['15/12/2013 07:00:01'],45-49,3268,3419
['15/12/2013 07:00:01'],50-54,2748,2961
['15/12/2013 07:00:01'],55-59,2223,2574
['15/12/2013 07:00:01'],60-64,2183,2386
['15/12/2013 07:00:01'],65-69,1809,1879
['15/12/2013 07:00:01'],70-74,1091,1119
['15/12/2013 07:00:01'],75-79,751,897
['15/12/2013 07:00:01'],80-84,502,709
['15/12/2013 07:00:01'],85-89,213,458
['15/12/2013 07:00:01'],90-94,81,228
['15/12/2013 07:00:01'],95-99,22,68
['15/12/2013 07:00:01'],100-104,1,11
['01/12/2013 07:00:01'],0-4,2684,2503
['01/12/2013 07:00:01'],5-9,2522,2329
['01/12/2013 07:00:01'],10-14,2299,2228
['01/12/2013 07:00:01'],15-19,2049,1888
['01/12/2013 07:00:01'],20-24,2086,2170
['01/12/2013 07:00:01'],25-29,2723,2924
['01/12/2013 07:00:01'],30-34,3697,3916
['01/12/2013 07:00:01'],35-39,4461,4619
['01/12/2013 07:00:01'],40-44,3905,3862
['01/12/2013 07:00:01'],45-49,3261,3417
['01/12/2013 07:00:01'],50-54,2746,2956
['01/12/2013 07:00:01'],55-59,2221,2574
['01/12/2013 07:00:01'],60-64,2181,2385
['01/12/2013 07:00:01'],65-69,1808,1879
['01/12/2013 07:00:01'],70-74,1092,1117
['01/12/2013 07:00:01'],75-79,751,895
['01/12/2013 07:00:01'],80-84,503,707
['01/12/2013 07:00:01'],85-89,215,459
['01/12/2013 07:00:01'],90-94,82,226
['01/12/2013 07:00:01'],95-99,22,70
['01/12/2013 07:00:01'],100-104,1,11
['15/11/2013 07:00:01'],0-4,2674,2496
['15/11/2013 07:00:01'],5-9,2524,2333
['15/11/2013 07:00:01'],10-14,2305,2228
['15/11/2013 07:00:01'],15-19,2051,1894
['15/11/2013 07:00:01'],20-24,2088,2171
['15/11/2013 07:00:01'],25-29,2734,2948
['15/11/2013 07:00:01'],30-34,3718,3929
['15/11/2013 07:00:01'],35-39,4467,4636
['15/11/2013 07:00:01'],40-44,3910,3864
['15/11/2013 07:00:01'],45-49,3269,3421
['15/11/2013 07:00:01'],50-54,2750,2958
['15/11/2013 07:00:01'],55-59,2226,2572
['15/11/2013 07:00:01'],60-64,2182,2385
['15/11/2013 07:00:01'],65-69,1807,1885
['15/11/2013 07:00:01'],70-74,1092,1120
['15/11/2013 07:00:01'],75-79,754,896
['15/11/2013 07:00:01'],80-84,502,706
['15/11/2013 07:00:01'],85-89,216,464
['15/11/2013 07:00:01'],90-94,84,228
['15/11/2013 07:00:01'],95-99,22,70
['15/11/2013 07:00:01'],100-104,1,11
['01/11/2013 07:00:02'],0-4,2658,2479
['01/11/2013 07:00:02'],5-9,2515,2326
['01/11/2013 07:00:02'],10-14,2301,2225
['01/11/2013 07:00:02'],15-19,2047,1891
['01/11/2013 07:00:02'],20-24,2083,2160
['01/11/2013 07:00:02'],25-29,2722,2933
['01/11/2013 07:00:02'],30-34,3702,3906
['01/11/2013 07:00:02'],35-39,4450,4618
['01/11/2013 07:00:02'],40-44,3897,3853
['01/11/2013 07:00:02'],45-49,3263,3416
['01/11/2013 07:00:02'],50-54,2743,2956
['01/11/2013 07:00:02'],55-59,2226,2571
['01/11/2013 07:00:02'],60-64,2181,2384
['01/11/2013 07:00:02'],65-69,1805,1885
['01/11/2013 07:00:02'],70-74,1093,1120
['01/11/2013 07:00:02'],75-79,753,895
['01/11/2013 07:00:02'],80-84,503,706
['01/11/2013 07:00:02'],85-89,217,466
['01/11/2013 07:00:02'],90-94,82,228
['01/11/2013 07:00:02'],95-99,22,71
['01/11/2013 07:00:02'],100-104,1,11
['15/10/2013 07:00:02'],0-4,2628,2447
['15/10/2013 07:00:02'],5-9,2523,2330
['15/10/2013 07:00:02'],10-14,2311,2240
['15/10/2013 07:00:02'],15-19,2044,1898
['15/10/2013 07:00:02'],20-24,2084,2162
['15/10/2013 07:00:02'],25-29,2723,2932
['15/10/2013 07:00:02'],30-34,3707,3918
['15/10/2013 07:00:02'],35-39,4462,4628
['15/10/2013 07:00:02'],40-44,3896,3857
['15/10/2013 07:00:02'],45-49,3269,3420
['15/10/2013 07:00:02'],50-54,2749,2958
['15/10/2013 07:00:02'],55-59,2231,2572
['15/10/2013 07:00:02'],60-64,2181,2386
['15/10/2013 07:00:02'],65-69,1807,1882
['15/10/2013 07:00:02'],70-74,1093,1122
['15/10/2013 07:00:02'],75-79,756,894
['15/10/2013 07:00:02'],80-84,508,710
['15/10/2013 07:00:02'],85-89,222,472
['15/10/2013 07:00:02'],90-94,83,229
['15/10/2013 07:00:02'],95-99,22,71
['15/10/2013 07:00:02'],100-104,1,11
['15/09/2013 07:00:01'],0-4,2570,2389
['15/09/2013 07:00:01'],5-9,2524,2334
['15/09/2013 07:00:01'],10-14,2318,2244
['15/09/2013 07:00:01'],15-19,2041,1899
['15/09/2013 07:00:01'],20-24,2075,2153
['15/09/2013 07:00:01'],25-29,2720,2936
['15/09/2013 07:00:01'],30-34,3699,3918
['15/09/2013 07:00:01'],35-39,4473,4632
['15/09/2013 07:00:01'],40-44,3891,3854
['15/09/2013 07:00:01'],45-49,3274,3420
['15/09/2013 07:00:01'],50-54,2746,2964
['15/09/2013 07:00:01'],55-59,2226,2573
['15/09/2013 07:00:01'],60-64,2185,2389
['15/09/2013 07:00:01'],65-69,1817,1883
['15/09/2013 07:00:01'],70-74,1095,1122
['15/09/2013 07:00:01'],75-79,759,900
['15/09/2013 07:00:01'],80-84,513,711
['15/09/2013 07:00:01'],85-89,225,475
['15/09/2013 07:00:01'],90-94,82,231
['15/09/2013 07:00:01'],95-99,22,72
['15/09/2013 07:00:01'],100-104,1,11
['01/09/2013 07:00:01'],0-4,2532,2343
['01/09/2013 07:00:01'],5-9,2519,2334
['01/09/2013 07:00:01'],10-14,2303,2241
['01/09/2013 07:00:01'],15-19,2039,1894
['01/09/2013 07:00:01'],20-24,2086,2160
['01/09/2013 07:00:01'],25-29,2716,2941
['01/09/2013 07:00:01'],30-34,3702,3922
['01/09/2013 07:00:01'],35-39,4472,4637
['01/09/2013 07:00:01'],40-44,3884,3850
['01/09/2013 07:00:01'],45-49,3275,3425
['01/09/2013 07:00:01'],50-54,2754,2969
['01/09/2013 07:00:01'],55-59,2226,2573
['01/09/2013 07:00:01'],60-64,2188,2389
['01/09/2013 07:00:01'],65-69,1814,1880
['01/09/2013 07:00:01'],70-74,1097,1122
['01/09/2013 07:00:01'],75-79,759,900
['01/09/2013 07:00:01'],80-84,515,712
['01/09/2013 07:00:01'],85-89,227,475
['01/09/2013 07:00:01'],90-94,82,234
['01/09/2013 07:00:01'],95-99,24,72
['01/09/2013 07:00:01'],100-104,1,11
['15/08/2013 07:00:04'],0-4,2524,2329
['15/08/2013 07:00:04'],5-9,2514,2329
['15/08/2013 07:00:04'],10-14,2295,2235
['15/08/2013 07:00:04'],15-19,2038,1885
['15/08/2013 07:00:04'],20-24,2082,2149
['15/08/2013 07:00:04'],25-29,2705,2927
['15/08/2013 07:00:04'],30-34,3691,3908
['15/08/2013 07:00:04'],35-39,4462,4628
['15/08/2013 07:00:04'],40-44,3871,3836
['15/08/2013 07:00:04'],45-49,3269,3420
['15/08/2013 07:00:04'],50-54,2750,2966
['15/08/2013 07:00:04'],55-59,2224,2572
['15/08/2013 07:00:04'],60-64,2188,2389
['15/08/2013 07:00:04'],65-69,1814,1880
['15/08/2013 07:00:04'],70-74,1097,1122
['15/08/2013 07:00:04'],75-79,759,900
['15/08/2013 07:00:04'],80-84,515,711
['15/08/2013 07:00:04'],85-89,226,475
['15/08/2013 07:00:04'],90-94,82,232
['15/08/2013 07:00:04'],95-99,24,72
['15/08/2013 07:00:04'],100-104,1,11
['01/08/2013 07:00:04'],0-4,2509,2317
['01/08/2013 07:00:04'],5-9,2508,2325
['01/08/2013 07:00:04'],10-14,2293,2231
['01/08/2013 07:00:04'],15-19,2040,1879
['01/08/2013 07:00:04'],20-24,2078,2142
['01/08/2013 07:00:04'],25-29,2699,2925
['01/08/2013 07:00:04'],30-34,3678,3899
['01/08/2013 07:00:04'],35-39,4459,4618
['01/08/2013 07:00:04'],40-44,3867,3829
['01/08/2013 07:00:04'],45-49,3267,3416
['01/08/2013 07:00:04'],50-54,2750,2966
['01/08/2013 07:00:04'],55-59,2225,2573
['01/08/2013 07:00:04'],60-64,2190,2392
['01/08/2013 07:00:04'],65-69,1816,1881
['01/08/2013 07:00:04'],70-74,1097,1120
['01/08/2013 07:00:04'],75-79,760,901
['01/08/2013 07:00:04'],80-84,517,712
['01/08/2013 07:00:04'],85-89,226,478
['01/08/2013 07:00:04'],90-94,84,235
['01/08/2013 07:00:04'],95-99,24,72
['01/08/2013 07:00:04'],100-104,1,11
['15/07/2013 07:00:03'],0-4,2475,2274
['15/07/2013 07:00:03'],5-9,2510,2323
['15/07/2013 07:00:03'],10-14,2291,2228
['15/07/2013 07:00:03'],15-19,2035,1878
['15/07/2013 07:00:03'],20-24,2079,2143
['15/07/2013 07:00:03'],25-29,2702,2928
['15/07/2013 07:00:03'],30-34,3681,3906
['15/07/2013 07:00:03'],35-39,4457,4619
['15/07/2013 07:00:03'],40-44,3872,3834
['15/07/2013 07:00:03'],45-49,3271,3419
['15/07/2013 07:00:03'],50-54,2748,2962
['15/07/2013 07:00:03'],55-59,2225,2575
['15/07/2013 07:00:03'],60-64,2192,2388
['15/07/2013 07:00:03'],65-69,1819,1886
['15/07/2013 07:00:03'],70-74,1099,1122
['15/07/2013 07:00:03'],75-79,761,901
['15/07/2013 07:00:03'],80-84,519,713
['15/07/2013 07:00:03'],85-89,229,477
['15/07/2013 07:00:03'],90-94,86,237
['15/07/2013 07:00:03'],95-99,24,73
['15/07/2013 07:00:03'],100-104,1,11
['01/07/2013 07:00:02'],0-4,2444,2244
['01/07/2013 07:00:02'],5-9,2501,2316
['01/07/2013 07:00:02'],10-14,2289,2223
['01/07/2013 07:00:02'],15-19,2034,1869
['01/07/2013 07:00:02'],20-24,2074,2134
['01/07/2013 07:00:02'],25-29,2694,2912
['01/07/2013 07:00:02'],30-34,3665,3889
['01/07/2013 07:00:02'],35-39,4445,4602
['01/07/2013 07:00:02'],40-44,3864,3826
['01/07/2013 07:00:02'],45-49,3259,3413
['01/07/2013 07:00:02'],50-54,2743,2955
['01/07/2013 07:00:02'],55-59,2224,2574
['01/07/2013 07:00:02'],60-64,2190,2387
['01/07/2013 07:00:02'],65-69,1817,1887
['01/07/2013 07:00:02'],70-74,1098,1122
['01/07/2013 07:00:02'],75-79,761,901
['01/07/2013 07:00:02'],80-84,520,712
['01/07/2013 07:00:02'],85-89,231,477
['01/07/2013 07:00:02'],90-94,86,237
['01/07/2013 07:00:02'],95-99,24,73
['01/07/2013 07:00:02'],100-104,1,12
['15/06/2013 07:00:02'],0-4,2446,2247
['15/06/2013 07:00:02'],5-9,2507,2325
['15/06/2013 07:00:02'],10-14,2293,2233
['15/06/2013 07:00:02'],15-19,2034,1876
['15/06/2013 07:00:02'],20-24,2075,2135
['15/06/2013 07:00:02'],25-29,2702,2935
['15/06/2013 07:00:02'],30-34,3680,3923
['15/06/2013 07:00:02'],35-39,4467,4630
['15/06/2013 07:00:02'],40-44,3873,3833
['15/06/2013 07:00:02'],45-49,3269,3425
['15/06/2013 07:00:02'],50-54,2745,2953
['15/06/2013 07:00:02'],55-59,2227,2579
['15/06/2013 07:00:02'],60-64,2192,2382
['15/06/2013 07:00:02'],65-69,1820,1890
['15/06/2013 07:00:02'],70-74,1101,1121
['15/06/2013 07:00:02'],75-79,761,901
['15/06/2013 07:00:02'],80-84,521,714
['15/06/2013 07:00:02'],85-89,230,478
['15/06/2013 07:00:02'],90-94,86,238
['15/06/2013 07:00:02'],95-99,25,75
['15/06/2013 07:00:02'],100-104,2,12
['01/06/2013 07:00:02'],0-4,2423,2221
['01/06/2013 07:00:02'],5-9,2507,2320
['01/06/2013 07:00:02'],10-14,2298,2231
['01/06/2013 07:00:02'],15-19,2028,1877
['01/06/2013 07:00:02'],20-24,2079,2136
['01/06/2013 07:00:02'],25-29,2696,2925
['01/06/2013 07:00:02'],30-34,3679,3913
['01/06/2013 07:00:02'],35-39,4470,4630
['01/06/2013 07:00:02'],40-44,3881,3837
['01/06/2013 07:00:02'],45-49,3272,3424
['01/06/2013 07:00:02'],50-54,2746,2957
['01/06/2013 07:00:02'],55-59,2238,2581
['01/06/2013 07:00:02'],60-64,2200,2383
['01/06/2013 07:00:02'],65-69,1822,1891
['01/06/2013 07:00:02'],70-74,1104,1123
['01/06/2013 07:00:02'],75-79,761,900
['01/06/2013 07:00:02'],80-84,522,712
['01/06/2013 07:00:02'],85-89,232,476
['01/06/2013 07:00:02'],90-94,87,236
['01/06/2013 07:00:02'],95-99,25,76
['01/06/2013 07:00:02'],100-104,2,12
['15/05/2013 07:00:09'],0-4,2433,2212
['15/05/2013 07:00:09'],5-9,2523,2332
['15/05/2013 07:00:09'],10-14,2297,2236
['15/05/2013 07:00:09'],15-19,2030,1879
['15/05/2013 07:00:09'],20-24,2083,2140
['15/05/2013 07:00:09'],25-29,2704,2928
['15/05/2013 07:00:09'],30-34,3688,3932
['15/05/2013 07:00:09'],35-39,4487,4641
['15/05/2013 07:00:09'],40-44,3882,3838
['15/05/2013 07:00:09'],45-49,3278,3429
['15/05/2013 07:00:09'],50-54,2749,2959
['15/05/2013 07:00:09'],55-59,2239,2584
['15/05/2013 07:00:09'],60-64,2203,2383
['15/05/2013 07:00:09'],65-69,1824,1895
['15/05/2013 07:00:09'],70-74,1102,1125
['15/05/2013 07:00:09'],75-79,761,902
['15/05/2013 07:00:09'],80-84,526,713
['15/05/2013 07:00:09'],85-89,233,477
['15/05/2013 07:00:09'],90-94,88,236
['15/05/2013 07:00:09'],95-99,25,76
['15/05/2013 07:00:09'],100-104,3,13
['01/05/2013 07:00:02'],0-4,2414,2189
['01/05/2013 07:00:02'],5-9,2514,2326
['01/05/2013 07:00:02'],10-14,2299,2233
['01/05/2013 07:00:02'],15-19,2029,1878
['01/05/2013 07:00:02'],20-24,2084,2140
['01/05/2013 07:00:02'],25-29,2707,2930
['01/05/2013 07:00:02'],30-34,3686,3924
['01/05/2013 07:00:02'],35-39,4487,4640
['01/05/2013 07:00:02'],40-44,3879,3832
['01/05/2013 07:00:02'],45-49,3279,3432
['01/05/2013 07:00:02'],50-54,2751,2961
['01/05/2013 07:00:02'],55-59,2240,2587
['01/05/2013 07:00:02'],60-64,2203,2384
['01/05/2013 07:00:02'],65-69,1822,1893
['01/05/2013 07:00:02'],70-74,1103,1124
['01/05/2013 07:00:02'],75-79,761,901
['01/05/2013 07:00:02'],80-84,526,712
['01/05/2013 07:00:02'],85-89,233,479
['01/05/2013 07:00:02'],90-94,88,236
['01/05/2013 07:00:02'],95-99,25,76
['01/05/2013 07:00:02'],100-104,3,13
['15/04/2013 07:00:02'],0-4,2373,2156
['15/04/2013 07:00:02'],5-9,2509,2329
['15/04/2013 07:00:02'],10-14,2295,2234
['15/04/2013 07:00:02'],15-19,2026,1874
['15/04/2013 07:00:02'],20-24,2084,2143
['15/04/2013 07:00:02'],25-29,2710,2951
['15/04/2013 07:00:02'],30-34,3682,3927
['15/04/2013 07:00:02'],35-39,4488,4640
['15/04/2013 07:00:02'],40-44,3879,3822
['15/04/2013 07:00:02'],45-49,3274,3432
['15/04/2013 07:00:02'],50-54,2748,2962
['15/04/2013 07:00:02'],55-59,2248,2586
['15/04/2013 07:00:02'],60-64,2205,2384
['15/04/2013 07:00:02'],65-69,1823,1893
['15/04/2013 07:00:02'],70-74,1105,1126
['15/04/2013 07:00:02'],75-79,763,900
['15/04/2013 07:00:02'],80-84,525,718
['15/04/2013 07:00:02'],85-89,235,483
['15/04/2013 07:00:02'],90-94,88,238
['15/04/2013 07:00:02'],95-99,25,76
['15/04/2013 07:00:02'],100-104,3,13
['01/04/2013 07:00:04'],0-4,2374,2152
['01/04/2013 07:00:04'],5-9,2509,2327
['01/04/2013 07:00:04'],10-14,2292,2232
['01/04/2013 07:00:04'],15-19,2023,1874
['01/04/2013 07:00:04'],20-24,2085,2147
['01/04/2013 07:00:04'],25-29,2708,2962
['01/04/2013 07:00:04'],30-34,3678,3922
['01/04/2013 07:00:04'],35-39,4488,4640
['01/04/2013 07:00:04'],40-44,3875,3819
