Fecha,Rango edad,Número de hombres,Número mujeres
['15/01/2018 07:00:01'],40-44,4478,4755
['15/01/2018 07:00:01'],45-49,3997,3932
['15/01/2018 07:00:01'],50-54,3232,3452
['15/01/2018 07:00:01'],55-59,2669,2951
['15/01/2018 07:00:01'],60-64,2143,2574
['15/01/2018 07:00:01'],65-69,2073,2367
['15/01/2018 07:00:01'],70-74,1718,1839
['15/01/2018 07:00:01'],75-79,1002,1104
['15/01/2018 07:00:01'],80-84,663,844
['15/01/2018 07:00:01'],85-89,387,600
['15/01/2018 07:00:01'],90-94,137,337
['15/01/2018 07:00:01'],95-99,33,120
['15/01/2018 07:00:01'],100-104,3,20
['01/01/2018 07:00:01'],0-4,2087,1951
['01/01/2018 07:00:01'],5-9,2887,2738
['01/01/2018 07:00:01'],10-14,2695,2415
['01/01/2018 07:00:01'],15-19,2510,2304
['01/01/2018 07:00:01'],20-24,2213,2054
['01/01/2018 07:00:01'],25-29,2312,2460
['01/01/2018 07:00:01'],30-34,2857,3099
['01/01/2018 07:00:01'],35-39,3799,3999
['01/01/2018 07:00:01'],40-44,4479,4750
['01/01/2018 07:00:01'],45-49,3993,3930
['01/01/2018 07:00:01'],50-54,3223,3450
['01/01/2018 07:00:01'],55-59,2662,2950
['01/01/2018 07:00:01'],60-64,2145,2576
['01/01/2018 07:00:01'],65-69,2073,2367
['01/01/2018 07:00:01'],70-74,1717,1835
['01/01/2018 07:00:01'],75-79,1003,1103
['01/01/2018 07:00:01'],80-84,667,844
['01/01/2018 07:00:01'],85-89,389,602
['01/01/2018 07:00:01'],90-94,137,338
['01/01/2018 07:00:01'],95-99,33,118
['01/01/2018 07:00:01'],100-104,3,20
['15/12/2017 07:00:01'],0-4,2606,2477
['15/12/2017 07:00:01'],5-9,2883,2723
['15/12/2017 07:00:01'],10-14,2657,2364
['15/12/2017 07:00:01'],15-19,2430,2238
['15/12/2017 07:00:01'],20-24,2200,2040
['15/12/2017 07:00:01'],25-29,2389,2556
['15/12/2017 07:00:01'],30-34,2997,3225
['15/12/2017 07:00:01'],35-39,3980,4289
['15/12/2017 07:00:01'],40-44,4456,4593
['15/12/2017 07:00:01'],45-49,3814,3842
['15/12/2017 07:00:01'],50-54,3112,3342
['15/12/2017 07:00:01'],55-59,2524,2863
['15/12/2017 07:00:01'],60-64,2063,2480
['15/12/2017 07:00:01'],65-69,2108,2344
['15/12/2017 07:00:01'],70-74,1573,1676
['15/12/2017 07:00:01'],75-79,878,972
['15/12/2017 07:00:01'],80-84,609,797
['15/12/2017 07:00:01'],85-89,333,559
['15/12/2017 07:00:01'],90-94,111,296
['15/12/2017 07:00:01'],95-99,21,87
['15/12/2017 07:00:01'],100-104,2,11
['01/12/2017 07:00:01'],0-4,2599,2478
['01/12/2017 07:00:01'],5-9,2880,2725
['01/12/2017 07:00:01'],10-14,2654,2366
['01/12/2017 07:00:01'],15-19,2436,2240
['01/12/2017 07:00:01'],20-24,2196,2041
['01/12/2017 07:00:01'],25-29,2402,2566
['01/12/2017 07:00:01'],30-34,3006,3243
['01/12/2017 07:00:01'],35-39,3996,4305
['01/12/2017 07:00:01'],40-44,4470,4604
['01/12/2017 07:00:01'],45-49,3819,3841
['01/12/2017 07:00:01'],50-54,3120,3346
['01/12/2017 07:00:01'],55-59,2529,2867
['01/12/2017 07:00:01'],60-64,2073,2482
['01/12/2017 07:00:01'],65-69,2108,2346
['01/12/2017 07:00:01'],70-74,1573,1677
['01/12/2017 07:00:01'],75-79,880,975
['01/12/2017 07:00:01'],80-84,609,797
['01/12/2017 07:00:01'],85-89,333,559
['01/12/2017 07:00:01'],90-94,110,297
['01/12/2017 07:00:01'],95-99,21,87
['01/12/2017 07:00:01'],100-104,2,11
['15/11/2017 07:00:01'],0-4,2559,2438
['15/11/2017 07:00:01'],5-9,2873,2723
['15/11/2017 07:00:01'],10-14,2652,2361
['15/11/2017 07:00:01'],15-19,2432,2235
['15/11/2017 07:00:01'],20-24,2190,2030
['15/11/2017 07:00:01'],25-29,2383,2557
['15/11/2017 07:00:01'],30-34,2989,3223
['15/11/2017 07:00:01'],35-39,3980,4292
['15/11/2017 07:00:01'],40-44,4456,4594
['15/11/2017 07:00:01'],45-49,3814,3839
['15/11/2017 07:00:01'],50-54,3114,3338
['15/11/2017 07:00:01'],55-59,2523,2863
['15/11/2017 07:00:01'],60-64,2073,2479
['15/11/2017 07:00:01'],65-69,2109,2344
['15/11/2017 07:00:01'],70-74,1573,1678
['15/11/2017 07:00:01'],75-79,881,975
['15/11/2017 07:00:01'],80-84,610,797
['15/11/2017 07:00:01'],85-89,340,562
['15/11/2017 07:00:01'],90-94,110,298
['15/11/2017 07:00:01'],95-99,21,90
['15/11/2017 07:00:01'],100-104,2,11
['01/11/2017 07:00:01'],0-4,2558,2428
['01/11/2017 07:00:01'],5-9,2878,2723
['01/11/2017 07:00:01'],10-14,2654,2363
['01/11/2017 07:00:01'],15-19,2435,2240
['01/11/2017 07:00:01'],20-24,2189,2037
['01/11/2017 07:00:01'],25-29,2390,2573
['01/11/2017 07:00:01'],30-34,2991,3228
['01/11/2017 07:00:01'],35-39,3989,4292
['01/11/2017 07:00:01'],40-44,4464,4598
['01/11/2017 07:00:01'],45-49,3817,3840
['01/11/2017 07:00:01'],50-54,3112,3338
['01/11/2017 07:00:01'],55-59,2525,2867
['01/11/2017 07:00:01'],60-64,2084,2479
['01/11/2017 07:00:01'],65-69,2109,2349
['01/11/2017 07:00:01'],70-74,1574,1680
['01/11/2017 07:00:01'],75-79,880,978
['01/11/2017 07:00:01'],80-84,613,797
['01/11/2017 07:00:01'],85-89,344,564
['01/11/2017 07:00:01'],90-94,111,297
['01/11/2017 07:00:01'],95-99,21,89
['01/11/2017 07:00:01'],100-104,2,11
['15/10/2017 07:00:01'],0-4,2513,2400
['15/10/2017 07:00:01'],5-9,2865,2722
['15/10/2017 07:00:01'],10-14,2650,2358
['15/10/2017 07:00:01'],15-19,2433,2229
['15/10/2017 07:00:01'],20-24,2179,2011
['15/10/2017 07:00:01'],25-29,2375,2549
['15/10/2017 07:00:01'],30-34,2976,3205
['15/10/2017 07:00:01'],35-39,3982,4274
['15/10/2017 07:00:01'],40-44,4453,4588
['15/10/2017 07:00:01'],45-49,3808,3834
['15/10/2017 07:00:01'],50-54,3108,3331
['15/10/2017 07:00:01'],55-59,2525,2862
['15/10/2017 07:00:01'],60-64,2087,2479
['15/10/2017 07:00:01'],65-69,2107,2346
['15/10/2017 07:00:01'],70-74,1573,1682
['15/10/2017 07:00:01'],75-79,878,977
['15/10/2017 07:00:01'],80-84,614,799
['15/10/2017 07:00:01'],85-89,345,564
['15/10/2017 07:00:01'],90-94,111,299
['15/10/2017 07:00:01'],95-99,21,90
['15/10/2017 07:00:01'],100-104,2,11
['01/10/2017 07:00:01'],0-4,2494,2384
['01/10/2017 07:00:01'],5-9,2867,2717
['01/10/2017 07:00:01'],10-14,2649,2355
['01/10/2017 07:00:01'],15-19,2432,2221
['01/10/2017 07:00:01'],20-24,2170,2000
['01/10/2017 07:00:01'],25-29,2363,2532
['01/10/2017 07:00:01'],30-34,2972,3202
['01/10/2017 07:00:01'],35-39,3967,4267
['01/10/2017 07:00:01'],40-44,4444,4581
